human,mouse,lemur
ENSG00000100726,ENSMUSG00000024170,ENSMICG00000000220
ENSG00000100731,ENSMUSG00000021140,ENSMICG00000013023
ENSG00000100744,ENSMUSG00000044715,ENSMICG00000036600
ENSG00000100749,ENSMUSG00000021115,ENSMICG00000030687
ENSG00000100764,ENSMUSG00000021178,ENSMICG00000016733
ENSG00000100767,ENSMUSG00000021223,ENSMICG00000017924
ENSG00000100784,ENSMUSG00000021180,ENSMICG00000005008
ENSG00000100796,ENSMUSG00000041846,ENSMICG00000011259
ENSG00000100802,ENSMUSG00000022179,ENSMICG00000009205
ENSG00000100804,ENSMUSG00000022193,ENSMICG00000035988
ENSG00000100811,ENSMUSG00000021264,ENSMICG00000006698
ENSG00000100813,ENSMUSG00000022185,ENSMICG00000002575
ENSG00000100814,ENSMUSG00000071470,ENSMICG00000041696
ENSG00000100815,ENSMUSG00000021188,ENSMICG00000005041
ENSG00000100823,ENSMUSG00000035960,ENSMICG00000043554
ENSG00000100842,ENSMUSG00000022203,ENSMICG00000010030
ENSG00000100852,ENSMUSG00000035133,ENSMICG00000007275
ENSG00000100867,ENSMUSG00000022209,ENSMICG00000044785
ENSG00000100884,ENSMUSG00000022212,ENSMICG00000037765
ENSG00000100888,ENSMUSG00000053754,ENSMICG00000007735
ENSG00000100889,ENSMUSG00000040618,ENSMICG00000001683
ENSG00000100890,ENSMUSG00000021023,ENSMICG00000001438
ENSG00000100897,ENSMUSG00000022214,ENSMICG00000008081
ENSG00000100902,ENSMUSG00000021024,ENSMICG00000000083
ENSG00000100906,ENSMUSG00000021025,ENSMICG00000004403
ENSG00000100908,ENSMUSG00000022217,ENSMICG00000001697
ENSG00000100911,ENSMUSG00000079197,ENSMICG00000001702
ENSG00000100916,ENSMUSG00000012076,ENSMICG00000034521
ENSG00000100918,ENSMUSG00000002324,ENSMICG00000001711
ENSG00000100926,ENSMUSG00000002320,ENSMICG00000036867
ENSG00000100934,ENSMUSG00000020986,ENSMICG00000014339
ENSG00000100949,ENSMUSG00000040472,ENSMICG00000001753
ENSG00000100968,ENSMUSG00000023411,ENSMICG00000014210
ENSG00000100979,ENSMUSG00000017754,ENSMICG00000011275
ENSG00000100982,ENSMUSG00000039849,ENSMICG00000011290
ENSG00000100983,ENSMUSG00000027610,ENSMICG00000004941
ENSG00000100985,ENSMUSG00000017737,ENSMICG00000011348
ENSG00000100987,ENSMUSG00000033080,ENSMICG00000002047
ENSG00000100991,ENSMUSG00000038324,ENSMICG00000005010
ENSG00000100994,ENSMUSG00000033059,ENSMICG00000005768
ENSG00000100997,ENSMUSG00000032046,ENSMICG00000005779
ENSG00000101000,ENSMUSG00000027611,ENSMICG00000038532
ENSG00000101003,ENSMUSG00000027454,ENSMICG00000037715
ENSG00000101004,ENSMUSG00000068115,ENSMICG00000005792
ENSG00000101017,ENSMUSG00000017652,ENSMICG00000036430
ENSG00000101019,ENSMUSG00000005882,ENSMICG00000006027
ENSG00000101040,ENSMUSG00000039671,ENSMICG00000009322
ENSG00000101049,ENSMUSG00000017868,ENSMICG00000015157
ENSG00000101052,ENSMUSG00000017858,ENSMICG00000015182
ENSG00000101057,ENSMUSG00000017861,ENSMICG00000000330
ENSG00000101074,ENSMUSG00000078949,ENSMICG00000008238
ENSG00000101076,ENSMUSG00000017950,ENSMICG00000008240
ENSG00000101079,ENSMUSG00000027634,ENSMICG00000045164
ENSG00000101082,ENSMUSG00000027636,ENSMICG00000041460
ENSG00000101084,ENSMUSG00000027637,ENSMICG00000044345
ENSG00000101096,ENSMUSG00000027544,ENSMICG00000000025
ENSG00000101098,ENSMUSG00000035226,ENSMICG00000042022
ENSG00000101104,ENSMUSG00000054582,ENSMICG00000000974
ENSG00000101109,ENSMUSG00000018209,ENSMICG00000000982
ENSG00000101115,ENSMUSG00000027547,ENSMICG00000000027
ENSG00000101126,ENSMUSG00000051149,ENSMICG00000027969
ENSG00000101132,ENSMUSG00000052033,ENSMICG00000004651
ENSG00000101134,ENSMUSG00000027560,ENSMICG00000004144
ENSG00000101138,ENSMUSG00000027498,ENSMICG00000004648
ENSG00000101144,ENSMUSG00000008999,ENSMICG00000005700
ENSG00000101146,ENSMUSG00000027509,ENSMICG00000005704
ENSG00000101150,ENSMUSG00000000827,ENSMICG00000015620
ENSG00000101152,ENSMUSG00000000826,ENSMICG00000044473
ENSG00000101158,ENSMUSG00000016253,ENSMICG00000014872
ENSG00000101160,ENSMUSG00000016256,ENSMICG00000014882
ENSG00000101161,ENSMUSG00000002455,ENSMICG00000017793
ENSG00000101162,ENSMUSG00000016255,ENSMICG00000037644
ENSG00000101180,ENSMUSG00000039059,ENSMICG00000003541
ENSG00000101181,ENSMUSG00000039069,ENSMICG00000035055
ENSG00000101182,ENSMUSG00000027566,ENSMICG00000014687
ENSG00000101187,ENSMUSG00000038963,ENSMICG00000001139
ENSG00000101188,ENSMUSG00000027568,ENSMICG00000026504
ENSG00000101189,ENSMUSG00000027569,ENSMICG00000048156
ENSG00000101190,ENSMUSG00000038932,ENSMICG00000030702
ENSG00000101191,ENSMUSG00000038914,ENSMICG00000006217
ENSG00000101194,ENSMUSG00000023393,ENSMICG00000045180
ENSG00000101197,ENSMUSG00000038840,ENSMICG00000008469
ENSG00000101199,ENSMUSG00000027575,ENSMICG00000013625
ENSG00000101200,ENSMUSG00000037727,ENSMICG00000026411
ENSG00000101204,ENSMUSG00000027577,ENSMICG00000035086
ENSG00000101210,ENSMUSG00000016349,ENSMICG00000015319
ENSG00000101216,ENSMUSG00000038705,ENSMICG00000043724
ENSG00000101220,ENSMUSG00000027327,ENSMICG00000002548
ENSG00000101222,ENSMUSG00000027329,ENSMICG00000042314
ENSG00000101224,ENSMUSG00000027330,ENSMICG00000002554
ENSG00000101230,ENSMUSG00000074766,ENSMICG00000027224
ENSG00000101236,ENSMUSG00000048911,ENSMICG00000038625
ENSG00000101246,ENSMUSG00000038671,ENSMICG00000008840
ENSG00000101247,ENSMUSG00000027384,ENSMICG00000011449
ENSG00000101251,ENSMUSG00000074764,ENSMICG00000011457
ENSG00000101255,ENSMUSG00000032715,ENSMICG00000036811
ENSG00000101265,ENSMUSG00000027339,ENSMICG00000014332
ENSG00000101276,ENSMUSG00000027463,ENSMICG00000014310
ENSG00000101280,ENSMUSG00000027460,ENSMICG00000014317
ENSG00000101282,ENSMUSG00000032852,ENSMICG00000041462
ENSG00000101290,ENSMUSG00000058793,ENSMICG00000009641
ENSG00000101292,ENSMUSG00000050558,ENSMICG00000029162
ENSG00000101294,ENSMUSG00000019188,ENSMICG00000014688
ENSG00000101306,ENSMUSG00000027470,ENSMICG00000042913
ENSG00000101311,ENSMUSG00000027356,ENSMICG00000011693
ENSG00000101323,ENSMUSG00000027261,ENSMICG00000003031
ENSG00000101327,ENSMUSG00000027400,ENSMICG00000031304
ENSG00000101331,ENSMUSG00000027474,ENSMICG00000015901
ENSG00000101333,ENSMUSG00000039943,ENSMICG00000006586
ENSG00000101335,ENSMUSG00000067818,ENSMICG00000000365
ENSG00000101336,ENSMUSG00000003283,ENSMICG00000015910
ENSG00000101337,ENSMUSG00000068040,ENSMICG00000015927
ENSG00000101343,ENSMUSG00000001767,ENSMICG00000006048
ENSG00000101346,ENSMUSG00000046020,ENSMICG00000015955
ENSG00000101347,ENSMUSG00000027639,ENSMICG00000002446
ENSG00000101349,ENSMUSG00000039913,ENSMICG00000006625
ENSG00000101350,ENSMUSG00000027475,ENSMICG00000015964
ENSG00000101353,ENSMUSG00000074627,ENSMICG00000005633
ENSG00000101361,ENSMUSG00000027405,ENSMICG00000016553
ENSG00000101363,ENSMUSG00000063019,ENSMICG00000032328
ENSG00000101365,ENSMUSG00000027406,ENSMICG00000016560
ENSG00000101367,ENSMUSG00000027479,ENSMICG00000047719
ENSG00000101384,ENSMUSG00000027276,ENSMICG00000005608
ENSG00000101391,ENSMUSG00000027487,ENSMICG00000004382
ENSG00000101400,ENSMUSG00000027488,ENSMICG00000004936
ENSG00000101405,ENSMUSG00000027301,ENSMICG00000035095
ENSG00000101407,ENSMUSG00000027650,ENSMICG00000000894
ENSG00000101412,ENSMUSG00000027490,ENSMICG00000006921
ENSG00000101413,ENSMUSG00000027651,ENSMICG00000047368
ENSG00000101417,ENSMUSG00000000876,ENSMICG00000028174
ENSG00000101425,ENSMUSG00000052922,ENSMICG00000013156
ENSG00000101438,ENSMUSG00000037771,ENSMICG00000037312
ENSG00000101439,ENSMUSG00000033156,ENSMICG00000004617
ENSG00000101440,ENSMUSG00000027596,ENSMICG00000044506
ENSG00000101442,ENSMUSG00000037761,ENSMICG00000013239
ENSG00000101443,ENSMUSG00000017723,ENSMICG00000015749
ENSG00000101444,ENSMUSG00000027597,ENSMICG00000003232
ENSG00000101445,ENSMUSG00000037754,ENSMICG00000013256
ENSG00000101447,ENSMUSG00000027654,ENSMICG00000037041
ENSG00000101452,ENSMUSG00000027655,ENSMICG00000013282
ENSG00000101457,ENSMUSG00000017299,ENSMICG00000011212
ENSG00000101460,ENSMUSG00000027602,ENSMICG00000028466
ENSG00000101464,ENSMUSG00000038383,ENSMICG00000003257
ENSG00000101470,ENSMUSG00000017300,ENSMICG00000011227
ENSG00000101473,ENSMUSG00000017307,ENSMICG00000044014
ENSG00000101474,ENSMUSG00000033096,ENSMICG00000002038
ENSG00000101489,ENSMUSG00000024268,ENSMICG00000006984
ENSG00000101542,ENSMUSG00000050840,ENSMICG00000032447
ENSG00000101544,ENSMUSG00000053950,ENSMICG00000036153
ENSG00000101546,ENSMUSG00000024570,ENSMICG00000011956
ENSG00000101557,ENSMUSG00000047879,ENSMICG00000009020
ENSG00000101558,ENSMUSG00000024091,ENSMICG00000002889
ENSG00000101574,ENSMUSG00000055660,ENSMICG00000037155
ENSG00000101577,ENSMUSG00000024052,ENSMICG00000017575
ENSG00000101596,ENSMUSG00000024054,ENSMICG00000012555
ENSG00000101605,ENSMUSG00000024049,ENSMICG00000017883
ENSG00000101624,ENSMUSG00000073542,ENSMICG00000026464
ENSG00000101638,ENSMUSG00000025425,ENSMICG00000013224
ENSG00000101639,ENSMUSG00000024542,ENSMICG00000017316
ENSG00000101654,ENSMUSG00000009535,ENSMICG00000001422
ENSG00000101665,ENSMUSG00000025880,ENSMICG00000034183
ENSG00000101670,ENSMUSG00000053846,ENSMICG00000017104
ENSG00000101680,ENSMUSG00000032796,ENSMICG00000007685
ENSG00000101695,ENSMUSG00000033107,ENSMICG00000044153
ENSG00000101745,ENSMUSG00000034647,ENSMICG00000003681
ENSG00000101746,ENSMUSG00000041923,ENSMICG00000010137
ENSG00000101751,ENSMUSG00000038425,ENSMICG00000008976
ENSG00000101752,ENSMUSG00000024294,ENSMICG00000007890
ENSG00000101773,ENSMUSG00000041238,ENSMICG00000009274
ENSG00000101782,ENSMUSG00000024404,ENSMICG00000009293
ENSG00000101811,ENSMUSG00000031256,ENSMICG00000014121
ENSG00000101842,ENSMUSG00000031430,ENSMICG00000002054
ENSG00000101843,ENSMUSG00000031429,ENSMICG00000002059
ENSG00000101844,ENSMUSG00000079418,ENSMICG00000002066
ENSG00000101850,ENSMUSG00000025333,ENSMICG00000010413
ENSG00000101856,ENSMUSG00000006373,ENSMICG00000004265
ENSG00000101868,ENSMUSG00000006678,ENSMICG00000002524
ENSG00000101871,ENSMUSG00000035299,ENSMICG00000002488
ENSG00000101882,ENSMUSG00000016409,ENSMICG00000013599
ENSG00000101888,ENSMUSG00000042271,ENSMICG00000014511
ENSG00000101890,ENSMUSG00000042282,ENSMICG00000042725
ENSG00000101892,ENSMUSG00000016327,ENSMICG00000029966
ENSG00000101898,ENSMUSG00000042814,ENSMICG00000014551
ENSG00000101901,ENSMUSG00000041718,ENSMICG00000013269
ENSG00000101911,ENSMUSG00000025742,ENSMICG00000034531
ENSG00000101916,ENSMUSG00000040522,ENSMICG00000014450
ENSG00000101928,ENSMUSG00000023074,ENSMICG00000006580
ENSG00000101935,ENSMUSG00000042225,ENSMICG00000045068
ENSG00000101938,ENSMUSG00000031283,ENSMICG00000001562
ENSG00000101940,ENSMUSG00000031166,ENSMICG00000012548
ENSG00000101945,ENSMUSG00000039231,ENSMICG00000014379
ENSG00000101955,ENSMUSG00000090084,ENSMICG00000001454
ENSG00000101958,ENSMUSG00000018589,ENSMICG00000015578
ENSG00000101974,ENSMUSG00000062949,ENSMICG00000017620
ENSG00000101977,ENSMUSG00000031139,ENSMICG00000016443
ENSG00000101981,ENSMUSG00000031138,ENSMICG00000016427
ENSG00000101986,ENSMUSG00000031378,ENSMICG00000003441
ENSG00000101997,ENSMUSG00000031143,ENSMICG00000006380
ENSG00000102001,ENSMUSG00000031142,ENSMICG00000006356
ENSG00000102003,ENSMUSG00000031144,ENSMICG00000006351
ENSG00000102007,ENSMUSG00000031146,ENSMICG00000006344
ENSG00000102010,ENSMUSG00000031377,ENSMICG00000003184
ENSG00000102030,ENSMUSG00000031388,ENSMICG00000010278
ENSG00000102034,ENSMUSG00000031103,ENSMICG00000007427
ENSG00000102038,ENSMUSG00000031099,ENSMICG00000015768
ENSG00000102048,ENSMUSG00000031384,ENSMICG00000003161
ENSG00000102053,ENSMUSG00000035045,ENSMICG00000010697
ENSG00000102054,ENSMUSG00000031353,ENSMICG00000000440
ENSG00000102057,ENSMUSG00000009731,ENSMICG00000033913
ENSG00000102081,ENSMUSG00000000838,ENSMICG00000000838
ENSG00000102096,ENSMUSG00000031155,ENSMICG00000043000
ENSG00000102100,ENSMUSG00000031156,ENSMICG00000005976
ENSG00000102103,ENSMUSG00000031157,ENSMICG00000005973
ENSG00000102109,ENSMUSG00000039278,ENSMICG00000030219
ENSG00000102119,ENSMUSG00000001964,ENSMICG00000004682
ENSG00000102125,ENSMUSG00000009995,ENSMICG00000030766
ENSG00000102144,ENSMUSG00000062070,ENSMICG00000006916
ENSG00000102145,ENSMUSG00000031162,ENSMICG00000032208
ENSG00000102158,ENSMUSG00000031232,ENSMICG00000015284
ENSG00000102172,ENSMUSG00000071708,ENSMICG00000033559
ENSG00000102174,ENSMUSG00000057457,ENSMICG00000000193
ENSG00000102178,ENSMUSG00000015290,ENSMICG00000016459
ENSG00000102181,ENSMUSG00000035776,ENSMICG00000004350
ENSG00000102189,ENSMUSG00000036499,ENSMICG00000015611
ENSG00000102218,ENSMUSG00000060090,ENSMICG00000007938
ENSG00000102221,ENSMUSG00000037315,ENSMICG00000043701
ENSG00000102225,ENSMUSG00000031065,ENSMICG00000016965
ENSG00000102226,ENSMUSG00000031066,ENSMICG00000016972
ENSG00000102230,ENSMUSG00000035246,ENSMICG00000009068
ENSG00000102239,ENSMUSG00000031130,ENSMICG00000047770
ENSG00000102241,ENSMUSG00000067873,ENSMICG00000009348
ENSG00000102245,ENSMUSG00000031132,ENSMICG00000017847
ENSG00000102265,ENSMUSG00000001131,ENSMICG00000029917
ENSG00000102271,ENSMUSG00000025597,ENSMICG00000017361
ENSG00000102287,ENSMUSG00000031340,ENSMICG00000045186
ENSG00000102302,ENSMUSG00000025265,ENSMICG00000010121
ENSG00000102309,ENSMUSG00000079480,ENSMICG00000001640
ENSG00000102312,ENSMUSG00000031169,ENSMICG00000013105
ENSG00000102349,ENSMUSG00000041649,ENSMICG00000001146
ENSG00000102359,ENSMUSG00000031253,ENSMICG00000017915
ENSG00000102362,ENSMUSG00000031255,ENSMICG00000017916
ENSG00000102383,ENSMUSG00000033906,ENSMICG00000001081
ENSG00000102384,ENSMUSG00000031262,ENSMICG00000014963
ENSG00000102385,ENSMUSG00000000223,ENSMICG00000015568
ENSG00000102390,ENSMUSG00000031226,ENSMICG00000030118
ENSG00000102393,ENSMUSG00000031266,ENSMICG00000034053
ENSG00000102445,ENSMUSG00000034959,ENSMICG00000011034
ENSG00000102452,ENSMUSG00000000197,ENSMICG00000010714
ENSG00000102466,ENSMUSG00000025551,ENSMICG00000010747
ENSG00000102468,ENSMUSG00000034997,ENSMICG00000043800
ENSG00000102471,ENSMUSG00000053253,ENSMICG00000026359
ENSG00000102524,ENSMUSG00000031497,ENSMICG00000000219
ENSG00000102531,ENSMUSG00000033487,ENSMICG00000009814
ENSG00000102543,ENSMUSG00000021982,ENSMICG00000017527
ENSG00000102547,ENSMUSG00000021981,ENSMICG00000017528
ENSG00000102554,ENSMUSG00000005148,ENSMICG00000014481
ENSG00000102572,ENSMUSG00000063410,ENSMICG00000012784
ENSG00000102575,ENSMUSG00000001348,ENSMICG00000007032
ENSG00000102580,ENSMUSG00000022136,ENSMICG00000017098
ENSG00000102595,ENSMUSG00000042104,ENSMICG00000005273
ENSG00000102606,ENSMUSG00000031511,ENSMICG00000008373
ENSG00000102678,ENSMUSG00000021974,ENSMICG00000029695
ENSG00000102683,ENSMUSG00000035296,ENSMICG00000038162
ENSG00000102699,ENSMUSG00000054509,ENSMICG00000028028
ENSG00000102710,ENSMUSG00000027751,ENSMICG00000003358
ENSG00000102738,ENSMUSG00000031533,ENSMICG00000006449
ENSG00000102743,ENSMUSG00000031482,ENSMICG00000007218
ENSG00000102753,ENSMUSG00000021929,ENSMICG00000006647
ENSG00000102755,ENSMUSG00000029648,ENSMICG00000016251
ENSG00000102760,ENSMUSG00000022018,ENSMICG00000027653
ENSG00000102763,ENSMUSG00000058997,ENSMICG00000017491
ENSG00000102780,ENSMUSG00000034731,ENSMICG00000017492
ENSG00000102781,ENSMUSG00000041298,ENSMICG00000004250
ENSG00000102786,ENSMUSG00000035161,ENSMICG00000008106
ENSG00000102794,ENSMUSG00000022126,ENSMICG00000027082
ENSG00000102802,ENSMUSG00000029659,ENSMICG00000011156
ENSG00000102804,ENSMUSG00000022010,ENSMICG00000035276
ENSG00000102805,ENSMUSG00000022125,ENSMICG00000036480
ENSG00000102837,ENSMUSG00000022026,ENSMICG00000001798
ENSG00000102854,ENSMUSG00000063011,ENSMICG00000033271
ENSG00000102858,ENSMUSG00000022517,ENSMICG00000015855
ENSG00000102870,ENSMUSG00000045639,ENSMICG00000042110
ENSG00000102871,ENSMUSG00000031887,ENSMICG00000007708
ENSG00000102878,ENSMUSG00000033249,ENSMICG00000007714
ENSG00000102879,ENSMUSG00000030707,ENSMICG00000047781
ENSG00000102882,ENSMUSG00000063065,ENSMICG00000009154
ENSG00000102886,ENSMUSG00000030703,ENSMICG00000009150
ENSG00000102890,ENSMUSG00000014791,ENSMICG00000007753
ENSG00000102891,ENSMUSG00000031757,ENSMICG00000044891
ENSG00000102893,ENSMUSG00000036879,ENSMICG00000012314
ENSG00000102897,ENSMUSG00000030922,ENSMICG00000036922
ENSG00000102898,ENSMUSG00000008450,ENSMICG00000028936
ENSG00000102900,ENSMUSG00000032939,ENSMICG00000010988
ENSG00000102901,ENSMUSG00000036672,ENSMICG00000012233
ENSG00000102904,ENSMUSG00000031893,ENSMICG00000012225
ENSG00000102908,ENSMUSG00000003847,ENSMICG00000004942
ENSG00000102910,ENSMUSG00000047866,ENSMICG00000014752
ENSG00000102921,ENSMUSG00000031652,ENSMICG00000035077
ENSG00000102924,ENSMUSG00000031654,ENSMICG00000032478
ENSG00000102934,ENSMUSG00000031775,ENSMICG00000029246
ENSG00000102935,ENSMUSG00000045333,ENSMICG00000005195
ENSG00000102962,ENSMUSG00000031779,ENSMICG00000042702
ENSG00000102967,ENSMUSG00000031730,ENSMICG00000011378
ENSG00000102970,ENSMUSG00000031780,ENSMICG00000046408
ENSG00000102974,ENSMUSG00000005698,ENSMICG00000012128
ENSG00000102977,ENSMUSG00000038000,ENSMICG00000012170
ENSG00000102978,ENSMUSG00000031783,ENSMICG00000045178
ENSG00000102981,ENSMUSG00000005699,ENSMICG00000012185
ENSG00000102984,ENSMUSG00000031728,ENSMICG00000035245
ENSG00000102996,ENSMUSG00000031790,ENSMICG00000017360
ENSG00000103005,ENSMUSG00000031792,ENSMICG00000004900
ENSG00000103018,ENSMUSG00000031924,ENSMICG00000036639
ENSG00000103021,ENSMUSG00000036598,ENSMICG00000046018
ENSG00000103024,ENSMUSG00000073435,ENSMICG00000030545
ENSG00000103034,ENSMUSG00000036564,ENSMICG00000007044
ENSG00000103035,ENSMUSG00000039067,ENSMICG00000027773
ENSG00000103037,ENSMUSG00000031671,ENSMICG00000007057
ENSG00000103042,ENSMUSG00000036534,ENSMICG00000016985
ENSG00000103043,ENSMUSG00000010936,ENSMICG00000001393
ENSG00000103044,ENSMUSG00000031910,ENSMICG00000009622
ENSG00000103047,ENSMUSG00000041949,ENSMICG00000009615
ENSG00000103051,ENSMUSG00000031753,ENSMICG00000001352
ENSG00000103056,ENSMUSG00000031906,ENSMICG00000011452
ENSG00000103061,ENSMUSG00000033106,ENSMICG00000041758
ENSG00000103064,ENSMUSG00000031904,ENSMICG00000011413
ENSG00000103066,ENSMUSG00000031903,ENSMICG00000011407
ENSG00000103067,ENSMUSG00000084128,ENSMICG00000011382
ENSG00000103089,ENSMUSG00000033579,ENSMICG00000012250
ENSG00000103091,ENSMUSG00000031959,ENSMICG00000012260
ENSG00000103111,ENSMUSG00000078908,ENSMICG00000009221
ENSG00000103121,ENSMUSG00000014633,ENSMICG00000011915
ENSG00000103126,ENSMUSG00000024182,ENSMICG00000047256
ENSG00000103145,ENSMUSG00000023904,ENSMICG00000001884
ENSG00000103148,ENSMUSG00000020289,ENSMICG00000010365
ENSG00000103150,ENSMUSG00000074064,ENSMICG00000036220
ENSG00000103152,ENSMUSG00000020287,ENSMICG00000010359
ENSG00000103154,ENSMUSG00000031837,ENSMICG00000012291
ENSG00000103160,ENSMUSG00000034189,ENSMICG00000012329
ENSG00000103168,ENSMUSG00000031832,ENSMICG00000012355
ENSG00000103174,ENSMUSG00000023143,ENSMICG00000016002
ENSG00000103175,ENSMUSG00000023336,ENSMICG00000012406
ENSG00000103184,ENSMUSG00000091712,ENSMICG00000015988
ENSG00000103196,ENSMUSG00000031825,ENSMICG00000002251
ENSG00000103197,ENSMUSG00000002496,ENSMICG00000005800
ENSG00000103202,ENSMUSG00000024177,ENSMICG00000004076
ENSG00000103222,ENSMUSG00000023088,ENSMICG00000026567
ENSG00000103241,ENSMUSG00000042812,ENSMICG00000034429
ENSG00000103245,ENSMUSG00000002280,ENSMICG00000032862
ENSG00000103248,ENSMUSG00000031816,ENSMICG00000035837
ENSG00000103249,ENSMUSG00000036636,ENSMICG00000013205
ENSG00000103253,ENSMUSG00000061046,ENSMICG00000010673
ENSG00000103254,ENSMUSG00000057411,ENSMICG00000033529
ENSG00000103257,ENSMUSG00000040010,ENSMICG00000004514
ENSG00000103260,ENSMUSG00000002274,ENSMICG00000026761
ENSG00000103264,ENSMUSG00000052934,ENSMICG00000007352
ENSG00000103266,ENSMUSG00000039615,ENSMICG00000010559
ENSG00000103269,ENSMUSG00000025735,ENSMICG00000010547
ENSG00000103274,ENSMUSG00000022503,ENSMICG00000004056
ENSG00000103275,ENSMUSG00000015120,ENSMICG00000030413
ENSG00000103310,ENSMUSG00000030911,ENSMICG00000015048
ENSG00000103313,ENSMUSG00000022534,ENSMICG00000013388
ENSG00000103316,ENSMUSG00000030905,ENSMICG00000015090
ENSG00000103319,ENSMUSG00000035064,ENSMICG00000015211
ENSG00000103326,ENSMUSG00000037326,ENSMICG00000027225
ENSG00000103335,ENSMUSG00000014444,ENSMICG00000008905
ENSG00000103342,ENSMUSG00000062203,ENSMICG00000014137
ENSG00000103343,ENSMUSG00000054939,ENSMICG00000014556
ENSG00000103351,ENSMUSG00000014232,ENSMICG00000009075
ENSG00000103353,ENSMUSG00000030870,ENSMICG00000007760
ENSG00000103355,ENSMUSG00000049620,ENSMICG00000038611
ENSG00000103356,ENSMUSG00000030871,ENSMICG00000007745
ENSG00000103363,ENSMUSG00000055839,ENSMICG00000012766
ENSG00000103365,ENSMUSG00000030872,ENSMICG00000007723
ENSG00000103381,ENSMUSG00000065979,ENSMICG00000047856
ENSG00000103404,ENSMUSG00000063317,ENSMICG00000007651
ENSG00000103415,ENSMUSG00000004070,ENSMICG00000017824
ENSG00000103423,ENSMUSG00000004069,ENSMICG00000017821
ENSG00000103429,ENSMUSG00000022684,ENSMICG00000016090
ENSG00000103449,ENSMUSG00000031665,ENSMICG00000036486
ENSG00000103460,ENSMUSG00000043668,ENSMICG00000014881
ENSG00000103479,ENSMUSG00000031666,ENSMICG00000016772
ENSG00000103485,ENSMUSG00000030674,ENSMICG00000027088
ENSG00000103489,ENSMUSG00000030657,ENSMICG00000002868
ENSG00000103490,ENSMUSG00000030793,ENSMICG00000030962
ENSG00000103494,ENSMUSG00000033282,ENSMICG00000016808
ENSG00000103495,ENSMUSG00000030678,ENSMICG00000030392
ENSG00000103496,ENSMUSG00000030805,ENSMICG00000001605
ENSG00000103502,ENSMUSG00000030682,ENSMICG00000010224
ENSG00000103507,ENSMUSG00000030802,ENSMICG00000001623
ENSG00000103510,ENSMUSG00000030801,ENSMICG00000001625
ENSG00000103522,ENSMUSG00000030745,ENSMICG00000028006
ENSG00000103528,ENSMUSG00000058420,ENSMICG00000014000
ENSG00000103534,ENSMUSG00000030650,ENSMICG00000011045
ENSG00000103540,ENSMUSG00000033904,ENSMICG00000042690
ENSG00000103544,ENSMUSG00000030982,ENSMICG00000011077
ENSG00000103546,ENSMUSG00000055368,ENSMICG00000003810
ENSG00000103549,ENSMUSG00000030816,ENSMICG00000001555
ENSG00000103550,ENSMUSG00000030980,ENSMICG00000011112
ENSG00000103569,ENSMUSG00000032204,ENSMICG00000038252
ENSG00000103591,ENSMUSG00000037257,ENSMICG00000044554
ENSG00000103599,ENSMUSG00000037801,ENSMICG00000006127
ENSG00000103642,ENSMUSG00000032370,ENSMICG00000007103
ENSG00000103647,ENSMUSG00000041729,ENSMICG00000001523
ENSG00000103653,ENSMUSG00000032312,ENSMICG00000035070
ENSG00000103657,ENSMUSG00000038664,ENSMICG00000007158
ENSG00000103671,ENSMUSG00000032386,ENSMICG00000008679
ENSG00000103707,ENSMUSG00000059183,ENSMICG00000002867
ENSG00000103710,ENSMUSG00000041696,ENSMICG00000000624
ENSG00000103723,ENSMUSG00000062444,ENSMICG00000017195
ENSG00000103740,ENSMUSG00000032281,ENSMICG00000008772
ENSG00000103742,ENSMUSG00000032816,ENSMICG00000046639
ENSG00000103769,ENSMUSG00000004771,ENSMICG00000041504
ENSG00000103811,ENSMUSG00000032359,ENSMICG00000037121
ENSG00000103852,ENSMUSG00000030555,ENSMICG00000007312
ENSG00000103855,ENSMUSG00000035914,ENSMICG00000045792
ENSG00000103876,ENSMUSG00000030630,ENSMICG00000028610
ENSG00000103888,ENSMUSG00000052353,ENSMICG00000017190
ENSG00000103932,ENSMUSG00000034032,ENSMICG00000015898
ENSG00000103942,ENSMUSG00000025813,ENSMICG00000017213
ENSG00000103966,ENSMUSG00000027293,ENSMICG00000034027
ENSG00000103978,ENSMUSG00000033808,ENSMICG00000000787
ENSG00000103994,ENSMUSG00000027288,ENSMICG00000000803
ENSG00000103995,ENSMUSG00000068394,ENSMICG00000012585
ENSG00000104043,ENSMUSG00000060131,ENSMICG00000003484
ENSG00000104044,ENSMUSG00000030450,ENSMICG00000000034
ENSG00000104047,ENSMUSG00000023330,ENSMICG00000032408
ENSG00000104055,ENSMUSG00000053675,ENSMICG00000009975
ENSG00000104059,ENSMUSG00000030518,ENSMICG00000006458
ENSG00000104064,ENSMUSG00000027361,ENSMICG00000027983
ENSG00000104067,ENSMUSG00000030516,ENSMICG00000006875
ENSG00000104081,ENSMUSG00000040093,ENSMICG00000032595
ENSG00000104093,ENSMUSG00000041268,ENSMICG00000010807
ENSG00000104112,ENSMUSG00000032181,ENSMICG00000010286
ENSG00000104129,ENSMUSG00000034278,ENSMICG00000026885
ENSG00000104131,ENSMUSG00000043424,ENSMICG00000005006
ENSG00000104133,ENSMUSG00000033396,ENSMICG00000005014
ENSG00000104140,ENSMUSG00000034226,ENSMICG00000037315
